H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return,subject
0.14217639,0.156879902,0.014703512,0.127937317,0.142298698,0.014361382,0.155918598,0.116134405,-0.039784193,0.124243736,0.276458263,0.152214527,0.137176991,0.641010761,0.503833771,0.125196934,0.124527216,-0.000669718,0.12209177,0.100096703,-0.021995068,0.128263235,0.085967302,-0.042295933,0.120441675,0.209371805,0.08893013,0.116911173,0.165437222,0.048526049,0.160258293,andy
0.141793013,0.164634705,0.022841692,0.121625423,0.152145624,0.030520201,0.137038708,0.121543169,-0.015495539,0.104215622,0.218603134,0.114387512,0.156908989,0.346146584,0.189237595,0.138544321,0.156243563,0.017699242,0.120453835,0.088308096,-0.032145739,0.14449048,0.082396984,-0.062093496,0.101188183,0.126066208,0.024878025,0.098423719,0.130661488,0.032237768,0.173819304,andy
0.157151937,0.147219658,-0.00993228,0.134795904,0.145790339,0.010994434,0.124891758,0.101460934,-0.023430824,0.112164974,0.202102184,0.08993721,0.140859604,0.274558783,0.133699179,0.142558336,0.309424162,0.166865826,0.121442318,0.101697683,-0.019744635,0.135451555,0.082422972,-0.053028584,0.108598232,0.155842543,0.04724431,0.118759155,0.146549702,0.027790546,0.173512459,andy
0.15867281,0.142487288,-0.016185522,0.118908167,0.159178972,0.040270805,0.133174896,0.060895443,-0.072279453,0.106036186,0.333517075,0.227480888,0.145888805,0.287379742,0.141490936,0.125950575,0.136229515,0.01027894,0.108066797,0.114495754,0.006428957,0.114266157,0.072555542,-0.041710615,0.101937056,0.145692348,0.043755293,0.096299887,0.122579813,0.026279926,0.190807819,andy
0.166582584,0.157102108,-0.009480476,0.115093708,0.141102552,0.026008844,0.135121107,0.082097054,-0.053024054,0.128654718,0.192888498,0.06423378,0.165007114,0.286536932,0.121529818,0.12632823,0.119997263,-0.006330967,0.11312151,0.08263731,-0.0304842,0.125474215,0.08924675,-0.036227465,0.114210844,0.149135828,0.034924984,0.121196508,0.230113029,0.108916521,0.143298626,andy
0.171179533,0.16161871,-0.009560823,0.127696514,0.162311792,0.034615278,0.180334568,0.147568226,-0.032766342,0.131131887,0.234872341,0.103740454,0.155002117,0.376304865,0.221302748,0.147761345,0.159785986,0.012024641,0.115420103,0.118183136,0.002763033,0.138345957,0.072517872,-0.065828085,0.112012625,0.23506403,0.123051405,0.119771242,0.173671484,0.053900242,0.170409203,andy
0.15350318,0.144393206,-0.009109974,0.124145746,0.142753839,0.018608093,0.140515804,0.098317385,-0.04219842,0.110291481,0.172502041,0.06221056,0.147309065,0.283873558,0.136564493,0.158077955,0.141872168,-0.016205788,0.128231049,0.896733761,0.768502712,0.111736774,0.04745388,-0.064282894,0.107188463,0.117782593,0.01059413,0.12438488,0.137153387,0.012768507,0.177037716,andy
0.209047318,0.201280117,-0.0077672,0.131327391,0.165039301,0.03371191,0.178005219,0.802742243,0.624737024,0.144491911,0.13138485,-0.013107061,-4.24274087,0.345526695,4.588267565,0.144691467,0.200154066,0.055462599,0.127612591,0.134420872,0.006808281,0.112333536,0.079000711,-0.033332825,0.099473238,0.117337465,0.017864227,0.129506111,0.15634346,0.026837349,0.163563728,andy
0.130247116,0.117078304,-0.013168812,0.115369797,0.135760307,0.020390511,0.124595642,0.134637117,0.010041475,0.177778244,0.255681276,0.077903032,0.154066324,0.290868759,0.136802435,0.148874998,0.198759794,0.049884796,0.130814314,1.565634012,1.434819698,0.115809202,0.059768677,-0.056040525,0.11202383,0.065909863,-0.046113968,-4.234345436,0.133391142,-0.002661943,0.183640957,andy
0.178874254,0.124667406,-0.054206848,0.076151133,1.319877625,1.243726492,0.155950785,0.119627237,-0.036323547,0.111800194,0.718207359,0.606407166,0.145735502,0.720422029,0.574686527,0.136855602,0.117340088,-0.019515514,0.124789,0.108787537,-0.016001463,0.13803339,0.052443266,-0.085590124,0.116247416,0.20574522,0.089497805,0.122621298,0.158820152,0.036198854,0.153385878,andy
0.117947578,0.170466661,0.052519083,0.095186234,0.092654467,-0.002531767,0.144354582,0.082001209,-0.062353373,0.092823267,0.169509411,0.076686144,0.154130697,0.624973059,0.470842361,0.118131638,0.115627289,-0.002504349,0.121082306,0.091538429,-0.029543877,0.136720181,0.056610107,-0.080110073,0.136209726,0.24697876,0.110769033,0.071953297,0.583356142,0.511402845,0.180896997,andy
0.135993958,0.104242802,-0.031751156,0.123496056,0.140074253,0.016578197,0.124248981,0.131270885,0.007021904,0.172670364,0.22757268,0.054902315,0.137904882,0.334524393,0.196619511,0.155697107,0.262613773,0.106916666,0.154150486,0.154803753,0.000653267,0.13801837,0.078015804,-0.060002565,0.108811378,0.137277842,0.028466463,0.112008095,0.114575148,0.002567053,0.163856745,andy
0.16840291,0.211970329,0.043567419,0.147689104,0.124951363,-0.022737741,0.147644758,0.105003595,-0.042641163,0.115013361,0.171419382,0.056406021,-3.311220646,0.22057128,3.531791925,0.16084528,0.193692446,0.032847166,0.173337936,0.149698257,-0.023639679,0.125701904,0.075349808,-0.050352097,0.129338264,0.103137255,-0.02620101,0.11567831,0.39340353,0.27772522,0.127454519,andy
0.17665267,2.049311876,1.872659206,0.14616704,0.814082146,0.667915106,0.154397011,0.06570673,-0.088690281,0.171314478,0.131714821,-0.039599657,0.121500254,0.632225752,0.510725498,0.156032085,0.11321187,-0.042820215,0.125354052,0.125785589,0.000431538,0.108711004,0.048745394,-0.059965611,0.118704081,0.112675905,-0.006028175,0.108742952,0.418765545,0.310022593,0.166459799,andy
0.150921345,0.13762784,-0.013293505,0.121968746,0.132595539,0.010626793,0.120350599,0.042664528,-0.077686071,0.132484913,0.179731369,0.047246456,-3.128596783,0.238128185,3.366724968,0.161081076,0.220377207,0.059296131,0.141837597,0.122614145,-0.019223452,0.114992142,0.065541506,-0.049450636,0.141916513,0.10558629,-0.036330223,0.124749899,0.153990269,0.02924037,0.160517693,andy
0.162541151,0.114761114,-0.047780037,0.121855974,0.18005085,0.058194876,0.131944418,0.131473303,-0.000471115,0.117936134,0.203543663,0.085607529,0.131017923,0.278281689,0.147263765,0.160027742,0.153482437,-0.006545305,0.128030539,0.118329048,-0.00970149,0.108691692,0.069143057,-0.039548635,0.116137743,0.094068527,-0.022069216,0.114695072,0.124834538,0.010139465,0.179991007,andy
0.16474247,0.175814629,0.011072159,0.118025064,0.131077528,0.013052464,0.121797085,0.092032433,-0.029764652,0.096586466,0.151062727,0.054476261,0.146241903,0.25808692,0.111845016,0.147825956,0.132169247,-0.01565671,0.129094124,0.089605331,-0.039488792,0.138277531,0.099526405,-0.038751125,0.127533674,0.145973206,0.018439531,0.104079723,0.132481337,0.028401613,0.174336195,andy
0.170835972,0.12778306,-0.043052912,0.135860205,0.175594807,0.039734602,0.160809755,0.127991915,-0.032817841,0.101895809,0.189850092,0.087954283,0.134559631,0.282562971,0.14800334,0.134263515,0.121429205,-0.012834311,0.139629364,0.098212957,-0.041416407,0.14269352,0.081166029,-0.061527491,0.137444496,0.107394457,-0.030050039,0.128251314,0.183420897,0.055169582,0.192253828,andy
0.137289286,0.165837765,0.028548479,0.1375103,0.13121891,-0.006291389,0.161730051,0.122108936,-0.039621115,0.095467091,0.174254179,0.078787088,0.147385836,0.282617569,0.135231733,0.155537367,0.132313728,-0.023223639,0.131166935,0.115056038,-0.016110897,0.132975817,0.068643093,-0.064332724,0.120685101,0.084695578,-0.035989523,0.107863426,0.123851061,0.015987635,0.173797369,andy
0.127351046,0.164518595,0.037167549,0.134326935,0.233576775,0.09924984,0.154019117,0.105532646,-0.048486471,0.107740879,0.177985668,0.070244789,0.146466017,0.286582232,0.140116215,0.14592433,0.14330411,-0.00262022,0.13762188,0.14742732,0.009805441,0.122339964,0.032927275,-0.089412689,0.118786812,0.142029524,0.023242712,0.118342161,0.196459532,0.078117371,0.163511753,andy
0.153759956,0.11170435,-0.042055607,0.159016132,0.156644583,-0.00237155,0.157509327,0.06599164,-0.091517687,0.124520302,0.152540445,0.028020144,-2.650959015,0.21647954,2.867438555,0.157419682,0.114953518,-0.042466164,0.137663126,0.14785552,0.010192394,0.131811857,0.0593822,-0.072429657,0.135069847,0.112018108,-0.023051739,-2.577501297,0.112476349,-0.021065474,0.206876993,andy
0.144240141,0.108228207,-0.036011934,0.111400604,0.157068491,0.045667887,0.164349794,0.082047701,-0.082302094,0.125766516,0.199532509,0.073765993,0.139169693,0.264276028,0.125106335,0.145856142,0.153077841,0.007221699,0.130616188,0.121869802,-0.008746386,0.117257118,0.068429708,-0.04882741,0.108681679,0.065700054,-0.042981625,0.121866226,0.144472122,0.022605896,0.2059021,andy
0.161503315,0.127709627,-0.033793688,0.125599623,0.165622711,0.040023088,0.122284889,0.072424412,-0.049860477,0.109014511,0.193513632,0.084499121,0.154205322,0.350891113,0.196685791,0.161789179,0.211386442,0.049597263,0.134622812,0.12819171,-0.006431103,0.109136581,0.06913209,-0.040004492,0.129902601,0.129366875,-0.000535727,0.124103785,0.147144079,0.023040295,0.160562754,andy
0.147986412,0.11184597,-0.036140442,0.124279976,0.161939621,0.037659645,0.148296118,0.075554371,-0.072741747,0.135206223,0.161660194,0.026453972,-2.758696556,0.237365246,2.996061802,0.154943943,0.223133087,0.068189144,0.118405342,0.095125675,-0.023279667,0.148052692,0.079378366,-0.068674326,0.128331423,0.095559359,-0.032772064,0.121656418,0.162858248,0.04120183,0.173345804,andy
0.16108942,0.134704351,-0.026385069,0.129136324,0.155296564,0.02616024,0.128415346,0.072305679,-0.056109667,0.115276098,0.18265605,0.067379951,-5.536181211,0.231686831,5.767868042,0.144536495,0.164913654,0.020377159,0.154446125,0.137759686,-0.01668644,0.165385723,0.159368277,-0.006017447,0.124663115,0.175668478,0.051005363,0.095503092,0.340505362,0.24500227,0.10151124,andy
0.183955193,0.117904186,-0.066051006,0.138383627,0.167412281,0.029028654,0.162161112,0.056545496,-0.105615616,0.12199235,0.187362194,0.065369844,-8.697739601,0.243728638,8.941468239,0.157778025,0.178030729,0.020252705,0.204725027,0.141181231,-0.063543797,0.168680668,0.073409319,-0.095271349,0.149834394,0.088702202,-0.061132193,0.107013702,0.110269547,0.003255844,0.193620205,andy
